"Name","Marke","Kollektion","Zielgruppe","Oberkategorie","Typ","Stoffart","Größe","Format","Status","Link","Bild","Notizen","Modelskizze"
"Cobbler Dress and Set","Gertie Patreon","Camp Gertie","Damen","Kleid","Kleid","Webware","2-20 / 18-34 (A-H Cup)","PDF","Vorhanden","","","",""
"Dandridge Skirt","Gertie Patreon","Camp Gertie","Damen","Unterteil","Rock","Sonstiges","2-20 / 18-34","PDF","Vorhanden","","","","https://enibas-gh.github.io/Schnittmuster/modelskizzen/DandridgeSkirt_Skizze.jpg"
"Dandy Waistcoat","Gertie Patreon","Charm Artist Collective","Unisex","Oberteil","Weste","Webware","XS-5XL","PDF","Vorhanden","","","",""
"Drama Club Cape","Gertie Patreon","Charm School","Damen","Oberteil","Jacke","Jacken-/Mantelstoffe","2–20 / 18–34 (A-H Cup)","PDF","Vorhanden","","","",""
"Elizabeth Caftan","Gertie Patreon","Hollywood Icons","Damen","Kleid","Kleid","Webware","2–20 / 18–34","PDF","Vorhanden","","","",""
"Elsa Culottes","Gertie Patreon","Society of Charm","Damen","Unterteil","Hose","Webware","2–20 / 18–34","PDF","Vorhanden","","","",""
"Extra Credit Wrap Top","Gertie Patreon","Charm School","Damen","Oberteil","Top","Jersey","2–20 / 18–34 (A-H Cup)","PDF","Vorhanden","","https://enibas-gh.github.io/Schnittmuster/bilder/Extra-Credit_Wrap_Top_.jpg","",""
"Field Trip Backpack","Gertie Patreon","Charm School","Damen","Taschen","Rucksack","Webware","","PDF","Vorhanden","","","",""
"Final Exam Blazer","Gertie Patreon","Charm School","Damen","Oberteil","Jacke","Jersey","2–20 / 18–34 (A-H Cup)","PDF","Vorhanden","","","",""
"Francie Top","Gertie Patreon","Society of Charm","Damen","Oberteil","Top","Jersey","2–20 / 18–34 (A-H Cup)","PDF","Vorhanden","","","",""
"Frenchy Peignoir","Gertie Patreon","Charm Artist Collective","Damen","Lingerie","Nachthemd","Sonstiges","2–20 / 18–34","PDF","Vorhanden","","","",""
"Gardner Top","Gertie Patreon","Camp Gertie","Damen","Oberteil","Top","Spitze","2–20 (A-H Cup)","PDF","Vorhanden","","","","https://enibas-gh.github.io/Schnittmuster/modelskizzen/GardnerTop_Skizze.jpg"
"Gina Bustier","Gertie Patreon","Society of Charm","Damen","Lingerie","BH","Webware","2–20 / 18–34 (A-H Cup)","PDF","Vorhanden","","","",""
"Ginger Sailor Pants","Gertie Patreon","Charm Artist Collective","Damen","Unterteil","Hose","Webware","2–20 / 18–34","PDF","Vorhanden","","","",""
"Grace Bodice","Gertie Patreon","Society of Charm","Damen","Oberteil","Top","Webware","2–20 / 18–34 (A-H Cup)","PDF","Vorhanden","","","",""
"Holly Bodice Backs","Gertie Patreon","Hollywood Icons 2025","Damen","Oberteil","Top","Webware","2–20 / 18–34","PDF","Vorhanden","","","",""
"Hollywood Dress","Gertie Patreon","Hollywood Icons","Damen","Kleid","Kleid","Webware","2–20 / 18–34 (A-H Cup)","PDF","Vorhanden","","https://enibas-gh.github.io/Schnittmuster/bilder/Hollywood_Dress.jpg","",""
"Hollywood Robe","Gertie Patreon","Hollywood Icons","Damen","Kleid","Kleid","Webware","2–20 / 18–34 (A-H Cup)","PDF","Vorhanden","","","",""
"Homecoming Skirt","Gertie Patreon","Charm School","Damen","Unterteil","Rock","Webware","2–20 / 18–34","PDF","Vorhanden","","","",""
"Honor Roll Top","Gertie Patreon","Charm School","Damen","Oberteil","Top","Webware","2–20 / 18–34 (A-H Cup)","PDF","Vorhanden","","","",""
"Ingrid Skirt","Gertie Patreon","Stanwyck Series","Damen","Unterteil","Rock","Webware","2-20 / 18-34","PDF","Vorhanden","","","",""
"Jane Set","Gertie Patreon","","Damen","Einteiler","Jumpsuit/Playsuit/Separates","Stretch-Webware","2-16 (B/C/D/DD Cup)","PDF","Vorhanden","","","",""
"Jasmin Jumpsuit","Gertie Patreon","Charm Artist Collective 2022","Damen","Einteiler","Jumpsuit","Jersey","2–20 / 18–34","PDF","Vorhanden","","","","https://enibas-gh.github.io/Schnittmuster/modelskizzen/JasminJumpsuit_Skizze.jpg"
"Jeanne Gloves","Gertie Patreon","Charm Artist Collective 2022","Damen","Accessoires","Handschuhe","Spitze","XS–XL","PDF","Vorhanden","","","",""
"Joan Wiggle Dress","Gertie Patreon","Charm Artist Collective 2022","Damen","Kleid","Kleid","Jersey","2–20 / 18–34","PDF","Vorhanden","","","","https://enibas-gh.github.io/Schnittmuster/modelskizzen/JoanWiggleDress_Skizze.jpg"
"Judy Vest","Gertie Patreon","Camp Gertie","Damen","Oberteil","Weste","Jersey (stabil)","2-20 / 18-34","PDF","Vorhanden","","https://enibas-gh.github.io/Schnittmuster/bilder/Judy_Vest.jpg","","https://enibas-gh.github.io/Schnittmuster/modelskizzen/JudyVest_Skizze.jpg"
"Katharine Skirt","Gertie Patreon","Hollywood Icons 2025","Damen","Unterteil","Rock","Webware","2–20 / 18–34","PDF","Vorhanden","","","",""
"Katherine Skirt","Gertie Patreon","","Damen","Unterteil","Rock","","2-20 / 18-34","PDF","Vorhanden","","","",""
"Lady Dandy Waistcoat","Gertie Patreon","Charm Artist Collective","Damen","Oberteil","Weste","Webware","2-20 / 18-34 (A-H Cup)","PDF","Vorhanden","","","",""
"Landis Bodice","Gertie Patreon","Camp Gertie 2021","Damen","Oberteil","Top","Webware","2–20 / 18–34","PDF","Vorhanden","","","",""
"Las Vegas Halter Top","Gertie Patreon","Charm Artist Collective","Damen","Oberteil","Top","Kunstleder","2-20 / 18-34 (A-H Cup)","PDF","Vorhanden","","https://enibas-gh.github.io/Schnittmuster/bilder/Las_Vegas_Halter_Top.jpg","",""
"Lisa Bodice","Gertie Patreon","Hollywood Icons 2025","Damen","Oberteil","Top","Jersey","2–20 / 18–34","PDF","Vorhanden","","","",""
"Lizabeth Raglan Top","Gertie Patreon","Charm Artist Collective 2022","Damen","Oberteil","Bluse","Webware","2–20 / 18–34","PDF","Vorhanden","","","","https://enibas-gh.github.io/Schnittmuster/modelskizzen/LizabethRaglanTop_Skizze.jpg"
"Lorelei Gown","Gertie Patreon","Hollywood Icons","Damen","Kleid","Kleid","Jersey","2–20 / 18–34","PDF","Vorhanden","","https://enibas-gh.github.io/Schnittmuster/bilder/Lorelei_Gown.jpg","",""
"Loretta Shorts","Gertie Patreon","Camp Gertie 2020","Damen","Unterteil","Shorts","Webware","2–20","PDF","Vorhanden","","","https://enibas-gh.github.io/Schnittmuster/bilder/Loretta-Shorts.jpg","https://enibas-gh.github.io/Schnittmuster/modelskizzen/LorettaShorts_Skizze.jpg"
"Lucille Trousers","Gertie Patreon","Camp Gertie","Damen","Unterteil","Hose","Webware","2-20 / 18-34","PDF","Vorhanden","","","","https://enibas-gh.github.io/Schnittmuster/modelskizzen/LucilleTrousers_Skizze.jpg"
"Make Do and Mend Dress Expansion","Gertie Patreon","Institute of Style","Damen","Kleid","Kleid","Webware","2–20 / 18–34 (A-H Cup)","PDF","Vorhanden","","https://enibas-gh.github.io/Schnittmuster/bilder/Make_Do_and_Mend_Dress.jpg","",""
"Make Do and Mend Overalls","Gertie Patreon","Institute of Style","Damen","Einteiler","Latzhose","Webware","2-20 / 18-34 (A-H Cup)","PDF","Vorhanden","","","",""
"Maria Pencil Skirt","Gertie Patreon","Society of Charm 2023","Damen","Unterteil","Rock","Webware","2–20 / 18–34","PDF","Vorhanden","","","",""
"Mariner Top","Gertie Patreon","Camp Gertie 2021","Damen","Oberteil","Bluse","Webware","2–20 / 18–34","PDF","Vorhanden","","","","https://enibas-gh.github.io/Schnittmuster/modelskizzen/MarinerTop_Skizze.jpg"
"Marlene Blouse","Gertie Patreon","Hollywood Icons","Damen","Oberteil","Bluse","Webware","2-20 / 18-34","PDF","Vorhanden","","https://enibas-gh.github.io/Schnittmuster/bilder/Marlene_Blouse.jpg","",""
"Midge Breton Shirt","Gertie Patreon","","Damen","Oberteil","Shirt","","2-20 / 18-34","PDF","Vorhanden","","","",""
"Midge Breton Top","Gertie Patreon","Charm Artist Collective 2022","Damen","Oberteil","Shirt","Jersey","2–20 / 18–34","PDF","Vorhanden","","","","https://enibas-gh.github.io/Schnittmuster/modelskizzen/MidgeBretonTop_Skizze.jpg"
"Millicent Dress","Gertie Patreon","Lamour Series","Damen","Kleid","Kleid","","2-20 / 18-34","PDF","Vorhanden","","","",""
"Millicent Skirt","Gertie Patreon","Society of Charm 2023","Damen","Unterteil","Rock","Webware","2–20 / 18–34","PDF","Vorhanden","","","",""
"MJC Holiday Skirt","Gertie Patreon","","Damen","Unterteil","Rock","","2-20 / 18-34","PDF","Vorhanden","","","",""
"Modern June Cleaver Holiday Skirt","Gertie Patreon","Charm Artist Collective 2022","Damen","Unterteil","Rock","Sonstiges","","PDF","Vorhanden","","","",""
"Niagara Bodice","Gertie Patreon","","Damen","Oberteil","Top","","2-20 / 18-34","PDF","Vorhanden","","","",""
"Niagara Keyhole Bodice","Gertie Patreon","Hollywood Icons 2025","Damen","Oberteil","Top","Webware","2–20 / 18–34","PDF","Vorhanden","","","",""
"Night and Day Dress","Gertie Patreon","","Damen","Kleid","Kleid","","2-20 / 18-34","PDF","Vorhanden","","https://enibas-gh.github.io/Schnittmuster/bilder/NightandDayDress.jpg","",""
"Norma Turban","Gertie Patreon","Hollywood Icons 2025","Damen","Accessoires","Mütze","Jersey","Einheitsgröße","PDF","Vorhanden","","","",""
"Patsy Mutton Sleeve & Necktie","Gertie Patreon","Charm School 2024","Damen","Sonstiges","Sonstiges","Webware","2–20 / 18–34","PDF","Vorhanden","","https://enibas-gh.github.io/Schnittmuster/bilder/PatsyMutton.jpg","",""
"Patsy Sleeve and Necktie","Gertie Patreon","","Damen","Accessoires","","","2-20 / 18-34","PDF","Vorhanden","","","",""
"Peggy Bodice","Gertie Patreon","Charm Artist Collective 2022","Damen","Oberteil","Top","Webware","2–20 / 18–34","PDF","Vorhanden","","","",""
"Pep Rally Skirt","Gertie Patreon","Charm School 2024","Damen","Unterteil","Rock","Webware","2–20 / 18–34","PDF","Vorhanden","","","",""
"Peter Pan Bolero","Gertie Patreon","Camp Gertie 2020","Damen","Oberteil","Jacke","Jersey","2–20","PDF","Vorhanden","","","","https://enibas-gh.github.io/Schnittmuster/modelskizzen/PeterPanBolero_Skizze.jpg"
"Picnic Top","Gertie Patreon","","Damen","Oberteil","Top","","2-20 / 18-34","PDF","Vorhanden","","","",""
"Presley Shirt","Gertie Patreon","","Damen","Oberteil","Shirt","","2-20 / 18-34","PDF","Vorhanden","","","",""
"Pride Caftan","Gertie Patreon","","Damen","Kleid","Kleid","Jersey","2-20 / 18-34","PDF","Vorhanden","","","",""
"Rizzo Jacket","Gertie Patreon","","Damen","Oberteil","Jacke","","2-20 / 18-34","PDF","Vorhanden","","","",""
"Sabrina Bodice","Gertie Patreon","","Damen","Oberteil","Top","","2-20 / 18-34","PDF","Vorhanden","","","",""
"Scarlet Gown","Gertie Patreon","","Damen","Kleid","Kleid","","2-20 / 18-34","PDF","Vorhanden","","","",""
"Scout Capelet","Gertie Patreon","","Damen","Oberteil","Jacke","","2-20 / 18-34","PDF","Vorhanden","","","",""
"Scout Dress","Gertie Patreon","Camp Gertie","Damen","Kleid","Kleid","Webware","2–20 / 18–34 (A–H Cup)","PDF","Vorhanden","","","","https://enibas-gh.github.io/Schnittmuster/modelskizzen/ScoutDress_Skizze.jpg"
"Secrets Clutch","Gertie Patreon","Society of Charm","Damen","Taschen","Clutch","Webware","One Size","PDF","Vorhanden","","","",""
"Shelley Purse","Gertie Patreon","Hollywood Icons","Damen","Taschen","Shopper","Webware","One Size (skalierbar)","PDF","Vorhanden","","","",""
"Skipper Dress and Bodysuit","Gertie Patreon","Camp Gertie","Damen","Einteiler","Overall","Jersey","2–20 / 18–34 (A–H Cup)","PDF","Vorhanden","","","","https://enibas-gh.github.io/Schnittmuster/modelskizzen/SkipperDress_Skizze.jpg"
"Slip, Camisole & Tap Pants","Gertie Patreon","Foundations Collection","Damen","Lingerie","Unterwäsche","Sonstiges","2–20 (A-H Cup)","PDF","Vorhanden","","https://enibas-gh.github.io/Schnittmuster/bilder/SlipandTapPants.jpg","",""
"Society Dress","Gertie Patreon","Society of Charm","Damen","Kleid","Kleid","Jersey","2–20 / 18–34 (A–H Cup)","PDF","Vorhanden","","","",""
"Sophia Dress","Gertie Patreon","Society of Charm","Damen","Kleid","Kleid","Jersey","2–20 / 18–34 (A–H Cup)","PDF","Vorhanden","","","",""
"Souvenir Top","Gertie Patreon","Charm School","Damen","Oberteil","Top","Webware","2–20 / 18–34 (A–H Cup)","PDF","Vorhanden","","","",""
"Stanwyck Skirt","Gertie Patreon","Stanwyck Series","Damen","Unterteil","Rock","Webware","2-20 / 18-34","PDF","Vorhanden","","https://enibas-gh.github.io/Schnittmuster/bilder/Stanwyck_Skirt.jpg","",""
"Summer vacation pants","Gertie Patreon","","Damen","Unterteil","Hose","","2-20 / 18-34","PDF","Vorhanden","","","",""
"Sweetheart Slip","Gertie Patreon","","Damen","Lingerie","Unterwäsche","","2-20 / 18-34","PDF","Vorhanden","","","",""
"Swing Coat","Gertie Patreon","","Damen","Oberteil","Mantel","Webware","2-20 / 18-34","PDF","Vorhanden","","","",""
"Turner Cardigan","Gertie Patreon","Society of Charm","Damen","Oberteil","Weste","Strick","2–20 / 18–34 (A–H Cup)","PDF","Vorhanden","","","",""
"Uniform Dress","Gertie Patreon","","Damen","Kleid","Kleid","","2-20 / 18-34","PDF","Vorhanden","","","",""
"Valedictorian Bow and Tie","Gertie Patreon","","Damen","Accessoires","Gürtel","","2-20 / 18-34","PDF","Vorhanden","","","",""
"Vargas Panties","Gertie Patreon","Society of Charm","Damen","Lingerie","Slip","Spitze","2–20 / 18–34","PDF","Vorhanden","","","",""
"Varsity Gym Shorts","Gertie Patreon","Charm School","Damen","Unterteil","Shorts","Jersey","2–20 / 18–34","PDF","Vorhanden","","","",""
"Varsity Sweatshirt","Gertie Patreon","Charm School","Damen","Oberteil","Sweatshirt","Jersey","2–20 / 18–34 (A–H Cup)","PDF","Vorhanden","","","",""
"Wanda Skirt","Gertie Patreon","Lamour Series","Damen","Unterteil","Rock","","2-20 / 18-34","PDF","Vorhanden","","","",""
"Waspie Corset Belt","Gertie Patreon","Camp Gertie","Damen","Accessoires","Gürtel","Webware","2–20 / 18–34","PDF","Vorhanden","","","",""
"Valedictorian Bow Tie and Suspenders","Gertie Patreon","Charm School","Unisex","Accessoires","Gürtel","Webware","One Size","PDF","Vorhanden","","","",""
"Wanda Pencil Skirt","Gertie Patreon","Charm Artist Collective","Damen","Unterteil","Rock","Webware","2–20 / 18–34","PDF","Vorhanden","","","",""
"Sabrina Dress","Gertie Patreon","Hollywood Icons","Damen","Kleid","Kleid","Webware","2–20 / 18–34 (A–H Cup)","PDF","Vorhanden","","","",""
"Starlet Gown","Gertie Patreon","Society of Charm","Damen","Kleid","Kleid","Jersey","2–20 / 18–34 (A–H Cup)","PDF","Vorhanden","","","",""
"Study Hall Dress","Gertie Patreon","Charm School Patreon 2024","Damen","Kleid","Kleid","Webware","2–20 / 18–34 (A-H Cup)","PDF","Vorhanden","","https://enibas-gh.github.io/Schnittmuster/bilder/Study_Hall_Dress.jpg","",""
"Summer Vacation Pants","Gertie Patreon","Charm School Patreon 2024","Damen","Unterteil","Hose","Webware","2–20 / 18–34","PDF","Vorhanden","","","",""
"Sweetheart Slip","Gertie Patreon","Charm School Patreon 2020","Damen","Lingerie","Unterwäsche","Sonstiges","2–20","PDF","Vorhanden","","","",""
"Swing Coat","Gertie Patreon","Charm School Patreon 2020","Damen","Oberteil","Mantel","Jacken-/Mantelstoffe","2–20 (A-H Cup)","PDF","Vorhanden","","","",""
